Project,Domain,Raw_URL
django/django,Web Development,https://raw.githubusercontent.com/django/django/main/docs/conf.py
django/django,Web Development,https://raw.githubusercontent.com/django/django/main/docs/lint.py
django/django,Web Development,https://raw.githubusercontent.com/django/django/main/django/__main__.py
django/django,Web Development,https://raw.githubusercontent.com/django/django/main/django/db/utils.py
django/django,Web Development,https://raw.githubusercontent.com/django/django/main/django/core/asgi.py
django/django,Web Development,https://raw.githubusercontent.com/django/django/main/django/core/wsgi.py
django/django,Web Development,https://raw.githubusercontent.com/django/django/main/django/shortcuts.py
django/django,Web Development,https://raw.githubusercontent.com/django/django/main/django/urls/base.py
django/django,Web Development,https://raw.githubusercontent.com/django/django/main/django/urls/conf.py
django/django,Web Development,https://raw.githubusercontent.com/django/django/main/django/utils/_os.py
django/django,Web Development,https://raw.githubusercontent.com/django/django/main/django/utils/csp.py
django/django,Web Development,https://raw.githubusercontent.com/django/django/main/django/utils/log.py
django/django,Web Development,https://raw.githubusercontent.com/django/django/main/django/tasks/base.py
django/django,Web Development,https://raw.githubusercontent.com/django/django/main/django/urls/utils.py
django/django,Web Development,https://raw.githubusercontent.com/django/django/main/django/utils/copy.py
django/django,Web Development,https://raw.githubusercontent.com/django/django/main/django/utils/html.py
django/django,Web Development,https://raw.githubusercontent.com/django/django/main/django/utils/http.py
django/django,Web Development,https://raw.githubusercontent.com/django/django/main/django/utils/ipv6.py
django/django,Web Development,https://raw.githubusercontent.com/django/django/main/django/utils/json.py
django/django,Web Development,https://raw.githubusercontent.com/django/django/main/django/utils/text.py
pytorch/pytorch,Machine Learning,https://raw.githubusercontent.com/pytorch/pytorch/main/torch/_VF.py
pytorch/pytorch,Machine Learning,https://raw.githubusercontent.com/pytorch/pytorch/main/torch/hub.py
pytorch/pytorch,Machine Learning,https://raw.githubusercontent.com/pytorch/pytorch/main/.spin/cmds.py
pytorch/pytorch,Machine Learning,https://raw.githubusercontent.com/pytorch/pytorch/main/torch/_ops.py
pytorch/pytorch,Machine Learning,https://raw.githubusercontent.com/pytorch/pytorch/main/tools/clean.py
pytorch/pytorch,Machine Learning,https://raw.githubusercontent.com/pytorch/pytorch/main/torch/types.py
pytorch/pytorch,Machine Learning,https://raw.githubusercontent.com/pytorch/pytorch/main/torch/_utils.py
pytorch/pytorch,Machine Learning,https://raw.githubusercontent.com/pytorch/pytorch/main/torch/nn/cpp.py
pytorch/pytorch,Machine Learning,https://raw.githubusercontent.com/pytorch/pytorch/main/torch/random.py
pytorch/pytorch,Machine Learning,https://raw.githubusercontent.com/pytorch/pytorch/main/torchgen/gen.py
pytorch/pytorch,Machine Learning,https://raw.githubusercontent.com/pytorch/pytorch/main/tools/nightly.py
pytorch/pytorch,Machine Learning,https://raw.githubusercontent.com/pytorch/pytorch/main/torch/_guards.py
pytorch/pytorch,Machine Learning,https://raw.githubusercontent.com/pytorch/pytorch/main/torch/_lobpcg.py
pytorch/pytorch,Machine Learning,https://raw.githubusercontent.com/pytorch/pytorch/main/torch/_tensor.py
pytorch/pytorch,Machine Learning,https://raw.githubusercontent.com/pytorch/pytorch/main/torch/fx/node.py
pytorch/pytorch,Machine Learning,https://raw.githubusercontent.com/pytorch/pytorch/main/torch/library.py
pytorch/pytorch,Machine Learning,https://raw.githubusercontent.com/pytorch/pytorch/main/torch/nn/grad.py
pytorch/pytorch,Machine Learning,https://raw.githubusercontent.com/pytorch/pytorch/main/torch/nn/init.py
pytorch/pytorch,Machine Learning,https://raw.githubusercontent.com/pytorch/pytorch/main/torch/storage.py
pytorch/pytorch,Machine Learning,https://raw.githubusercontent.com/pytorch/pytorch/main/torch/_appdirs.py
pandas-dev/pandas,Data Science,https://raw.githubusercontent.com/pandas-dev/pandas/main/doc/make.py
pandas-dev/pandas,Data Science,https://raw.githubusercontent.com/pandas-dev/pandas/main/generate_pxi.py
pandas-dev/pandas,Data Science,https://raw.githubusercontent.com/pandas-dev/pandas/main/pandas/io/api.py
pandas-dev/pandas,Data Science,https://raw.githubusercontent.com/pandas-dev/pandas/main/pandas/io/orc.py
pandas-dev/pandas,Data Science,https://raw.githubusercontent.com/pandas-dev/pandas/main/pandas/io/sql.py
pandas-dev/pandas,Data Science,https://raw.githubusercontent.com/pandas-dev/pandas/main/pandas/io/xml.py
pandas-dev/pandas,Data Science,https://raw.githubusercontent.com/pandas-dev/pandas/main/pandas/_typing.py
pandas-dev/pandas,Data Science,https://raw.githubusercontent.com/pandas-dev/pandas/main/pandas/io/html.py
pandas-dev/pandas,Data Science,https://raw.githubusercontent.com/pandas-dev/pandas/main/pandas/io/spss.py
pandas-dev/pandas,Data Science,https://raw.githubusercontent.com/pandas-dev/pandas/main/web/pandas_web.py
pandas-dev/pandas,Data Science,https://raw.githubusercontent.com/pandas-dev/pandas/main/doc/source/conf.py
pandas-dev/pandas,Data Science,https://raw.githubusercontent.com/pandas-dev/pandas/main/pandas/core/api.py
pandas-dev/pandas,Data Science,https://raw.githubusercontent.com/pandas-dev/pandas/main/pandas/core/col.py
pandas-dev/pandas,Data Science,https://raw.githubusercontent.com/pandas-dev/pandas/main/pandas/io/_util.py
pandas-dev/pandas,Data Science,https://raw.githubusercontent.com/pandas-dev/pandas/main/pandas/io/stata.py
pandas-dev/pandas,Data Science,https://raw.githubusercontent.com/pandas-dev/pandas/main/generate_version.py
