Run_Seed,Key_ID,Project,Domain,Original_Nodes,Watermarked_Nodes,Payload_Bits,Encode_Time_ms,Verify_Time_ms,False_Positive_Check,Baseline_Verify,Black_Survival,Ruff_Survival,Autoflake_Survival,Pyupgrade_Survival,Canonical_Survival,Semantic_Survival,PatternGuided_Survival,Canonical_Node_Delta,Semantic_Node_Delta,PatternGuided_Node_Delta,Failure_Reason
0e54b312-881d-4981-b8cf-13d6cb7eef31,DEV_KEY_001,django/django,Web Development,17,17,672,7.79,0.08,False,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,0.0,0.0,0.0,Watermark Encoding Rejection
0e54b312-881d-4981-b8cf-13d6cb7eef31,DEV_KEY_001,django/django,Web Development,986,10506,672,51.94,64.92,False,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,0.0,0.0,0.0,Watermark Encoding Rejection
0e54b312-881d-4981-b8cf-13d6cb7eef31,DEV_KEY_001,django/django,Web Development,21,9541,672,130.62,96.92,False,True,True,True,Crash: FileNotFoundError,Crash: FileNotFoundError,True,True,ERROR,0.214,0.0,0.0,Runtime Crash: 'Assign' object has no attribute 'value'
0e54b312-881d-4981-b8cf-13d6cb7eef31,DEV_KEY_001,django/django,Web Development,852,10372,672,325.47,103.76,False,True,True,True,Crash: FileNotFoundError,Crash: FileNotFoundError,True,True,ERROR,0.1971,0.0,0.0,Runtime Crash: 'Assign' object has no attribute 'value'
0e54b312-881d-4981-b8cf-13d6cb7eef31,DEV_KEY_001,django/django,Web Development,21,9541,672,108.34,443.19,False,True,True,True,Crash: FileNotFoundError,Crash: FileNotFoundError,True,True,ERROR,0.214,0.0,0.0,Runtime Crash: 'Assign' object has no attribute 'value'
0e54b312-881d-4981-b8cf-13d6cb7eef31,DEV_KEY_001,django/django,Web Development,615,10135,672,563.9,375.85,False,True,True,True,Crash: FileNotFoundError,Crash: FileNotFoundError,True,True,ERROR,0.2025,0.0,0.0,Runtime Crash: 'Assign' object has no attribute 'value'
0e54b312-881d-4981-b8cf-13d6cb7eef31,DEV_KEY_001,django/django,Web Development,472,9992,672,91.07,97.86,False,True,True,True,Crash: FileNotFoundError,Crash: FileNotFoundError,True,True,ERROR,0.2042,0.0,0.0,Runtime Crash: 'Assign' object has no attribute 'value'
0e54b312-881d-4981-b8cf-13d6cb7eef31,DEV_KEY_001,django/django,Web Development,334,9854,672,883.82,436.69,False,True,True,True,Crash: FileNotFoundError,Crash: FileNotFoundError,True,True,ERROR,0.2074,0.0,0.0,Runtime Crash: 'Assign' object has no attribute 'value'
0e54b312-881d-4981-b8cf-13d6cb7eef31,DEV_KEY_001,django/django,Web Development,698,10218,672,80.75,383.9,False,True,True,True,Crash: FileNotFoundError,Crash: FileNotFoundError,True,True,ERROR,0.201,0.0,0.0,Runtime Crash: 'Assign' object has no attribute 'value'
0e54b312-881d-4981-b8cf-13d6cb7eef31,DEV_KEY_001,django/django,Web Development,361,9881,672,383.68,1034.83,False,True,True,True,Crash: FileNotFoundError,Crash: FileNotFoundError,True,True,ERROR,0.2065,0.0,0.0,Runtime Crash: 'Assign' object has no attribute 'value'
0e54b312-881d-4981-b8cf-13d6cb7eef31,DEV_KEY_001,django/django,Web Development,430,9950,672,526.94,787.99,False,True,True,True,Crash: FileNotFoundError,Crash: FileNotFoundError,True,True,ERROR,0.206,0.0,0.0,Runtime Crash: 'Assign' object has no attribute 'value'
0e54b312-881d-4981-b8cf-13d6cb7eef31,DEV_KEY_001,django/django,Web Development,1058,10578,672,1500.27,346.59,False,True,True,True,Crash: FileNotFoundError,Crash: FileNotFoundError,True,True,ERROR,0.1938,0.0,0.0,Runtime Crash: 'Assign' object has no attribute 'value'
0e54b312-881d-4981-b8cf-13d6cb7eef31,DEV_KEY_001,django/django,Web Development,58,9578,672,171.16,260.3,False,True,True,True,Crash: FileNotFoundError,Crash: FileNotFoundError,True,True,ERROR,0.2132,0.0,0.0,Runtime Crash: 'Assign' object has no attribute 'value'
0e54b312-881d-4981-b8cf-13d6cb7eef31,DEV_KEY_001,django/django,Web Development,896,10416,672,429.83,347.73,False,True,True,True,Crash: FileNotFoundError,Crash: FileNotFoundError,True,True,ERROR,0.1972,0.0,0.0,Runtime Crash: 'Assign' object has no attribute 'value'
0e54b312-881d-4981-b8cf-13d6cb7eef31,DEV_KEY_001,django/django,Web Development,1142,10662,672,282.68,176.59,False,True,True,True,Crash: FileNotFoundError,Crash: FileNotFoundError,True,True,ERROR,0.1923,0.0,0.0,Runtime Crash: 'Assign' object has no attribute 'value'
0e54b312-881d-4981-b8cf-13d6cb7eef31,DEV_KEY_001,django/django,Web Development,1710,11230,672,407.13,503.26,False,True,True,True,Crash: FileNotFoundError,Crash: FileNotFoundError,True,True,ERROR,0.1847,0.0,0.0,Runtime Crash: 'Assign' object has no attribute 'value'
0e54b312-881d-4981-b8cf-13d6cb7eef31,DEV_KEY_001,django/django,Web Development,2245,11765,672,633.09,355.17,False,True,True,True,Crash: FileNotFoundError,Crash: FileNotFoundError,True,True,ERROR,0.1763,0.0,0.0,Runtime Crash: 'Assign' object has no attribute 'value'
0e54b312-881d-4981-b8cf-13d6cb7eef31,DEV_KEY_001,django/django,Web Development,171,9691,672,872.71,102.35,False,True,True,True,Crash: FileNotFoundError,Crash: FileNotFoundError,True,True,ERROR,0.2109,0.0,0.0,Runtime Crash: 'Assign' object has no attribute 'value'
